['Parsley/Health', 1711653962.4155135, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['Parsley/Health', 1711653963.4221814, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['Parsley/Health', 1711653964.426374, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['Parsley/Health', 1711653965.429061, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['Parsley/Health', 1711653966.4370775, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['Parsley/Health', 1711653967.4410384, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['Parsley/Health', 1711653968.4464238, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['Parsley/Health', 1711653969.446593, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Dead'}]
['CAN/Parsley', 1711653969.6586032, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'ISENSE_24V', 'value': 0.0}}]
['CAN/Parsley', 1711653969.661113, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'VSENSE_24V', 'value': 3.075}}]
['CAN/Parsley', 1711653969.6621122, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'ISENSE_12VD', 'value': 0.0}}]
['CAN/Parsley', 1711653969.663113, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'VSENSE_12VD', 'value': 3.607}}]
['CAN/Parsley', 1711653969.663113, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'ISENSE_12VA', 'value': 0.002}}]
['CAN/Parsley', 1711653969.6641128, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'ISENSE_5VD', 'value': 0.598}}]
['CAN/Parsley', 1711653969.6661117, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'VSENSE_5VD', 'value': 3.862}}]
['CAN/Parsley', 1711653969.6671126, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'ISENSE_5VA', 'value': 0.051000000000000004}}]
['CAN/Parsley', 1711653969.6671126, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'ISENSE_3V3', 'value': 0.001}}]
['CAN/Parsley', 1711653969.6671126, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'VSENSE_3V3', 'value': 1.96}}]
['CAN/Parsley', 1711653969.6681123, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'RAW_ISENSE_5V', 'value': 0.093}}]
['CAN/Parsley', 1711653969.6681123, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.25000533333333336, 'sensor_id': 'RAW_ISENSE_24V', 'value': 0.776}}]
['CAN/Parsley', 1711653969.6681123, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.25075200000000003, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653969.7107615, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 0.26333866666666667, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653969.7107615, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 0.26336000000000004, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653970.4504807, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653970.6557581, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.500032, 'sensor_id': 'ISENSE_24V', 'value': 0.001}}]
['CAN/Parsley', 1711653970.6557581, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.500032, 'sensor_id': 'VSENSE_24V', 'value': 3.5700000000000003}}]
