Timestamp,Fake0,Fake1,Fake2,Fake3,Fake4,Fake5,Fake6,Fake7
0.000000,0.496478,0.548452,0.469699,0.550938,0.491799,0.472301,0.507504,0.501154
0.024311,0.526416,0.516031,0.534282,0.516143,0.503406,0.516938,0.497638,0.487207
0.048364,0.490987,0.495900,0.513452,0.514074,0.479948,0.503107,0.548829,0.471107
0.072477,0.488398,0.508793,0.475967,0.508905,0.521874,0.538336,0.516161,0.503161
0.097245,0.518266,0.501255,0.516657,0.486370,0.471130,0.495475,0.481287,0.481230
0.122022,0.495798,0.474188,0.493760,0.541864,0.514334,0.527977,0.524334,0.471968
0.146042,0.503913,0.479969,0.539989,0.488658,0.458970,0.513957,0.496350,0.461681
0.169947,0.504076,0.499973,0.504055,0.482873,0.504607,0.516476,0.529535,0.478950
0.194564,0.471723,0.508087,0.489361,0.508255,0.520080,0.486909,0.501074,0.491119
0.219334,0.500661,0.490038,0.456233,0.485868,0.479440,0.508562,0.504035,0.491297
0.240384,0.543328,0.505672,0.494399,0.495795,0.493416,0.467574,0.471981,0.517890
0.264091,0.495751,0.508094,0.476869,0.523293,0.473952,0.503460,0.496781,0.493517
0.288850,0.507389,0.510510,0.490829,0.510153,0.455599,0.528882,0.488766,0.478857
0.312758,0.524942,0.478320,0.511410,0.475901,0.470008,0.461930,0.511572,0.504798
0.337526,0.502219,0.483818,0.459871,0.506741,0.480122,0.529829,0.504556,0.533538
0.362363,0.494578,0.493785,0.488322,0.491481,0.529384,0.528196,0.493529,0.476225
0.384159,0.528365,0.510062,0.461343,0.503983,0.477234,0.499655,0.495160,0.528607
0.408736,0.481832,0.519380,0.493032,0.507576,0.501544,0.484751,0.480580,0.448665
0.433575,0.528801,0.494016,0.471685,0.547216,0.505537,0.505754,0.496809,0.452208
0.458307,0.473726,0.482212,0.484748,0.519080,0.465938,0.472161,0.508496,0.504607
0.483058,0.461471,0.511659,0.522733,0.519286,0.481604,0.536928,0.532087,0.492101
0.507788,0.514435,0.455146,0.510836,0.507001,0.513148,0.499595,0.543029,0.511727
0.532517,0.517832,0.509044,0.493956,0.463592,0.502550,0.514485,0.468167,0.496689
0.557271,0.485113,0.497546,0.478743,0.500386,0.506210,0.494518,0.507403,0.540414
0.581236,0.484793,0.507271,0.516357,0.499331,0.519220,0.506522,0.490749,0.498072
0.606001,0.517376,0.483199,0.521324,0.509341,0.504066,0.513980,0.506609,0.552276
0.630694,0.506807,0.487491,0.484035,0.459232,0.529910,0.513427,0.532850,0.504222
0.654557,0.480392,0.545519,0.491471,0.508974,0.509044,0.545941,0.477404,0.518956
0.678061,0.513475,0.480912,0.535533,0.492396,0.483145,0.505452,0.509657,0.511703
0.702841,0.506663,0.521052,0.484594,0.509221,0.526576,0.504726,0.482645,0.540869
0.727631,0.543773,0.501239,0.504836,0.512803,0.515923,0.491217,0.488526,0.480158
0.750017,0.529972,0.505988,0.491656,0.457455,0.502217,0.488397,0.483692,0.474769
0.774766,0.523942,0.508658,0.503254,0.469509,0.542716,0.479217,0.529393,0.466334
0.799502,0.501327,0.493197,0.489406,0.466568,0.467528,0.517960,0.481291,0.482389
0.824264,0.501807,0.488338,0.456767,0.490951,0.515959,0.483930,0.507123,0.499118
0.845395,0.493841,0.506445,0.511869,0.495364,0.522527,0.462933,0.469689,0.574051
0.870186,0.496227,0.520117,0.508598,0.462371,0.523032,0.506255,0.491752,0.510170
0.892766,0.472311,0.489502,0.482380,0.506198,0.487615,0.492794,0.502800,0.524290
0.913985,0.515668,0.484904,0.487564,0.505809,0.520521,0.476517,0.496397,0.513016
0.935226,0.545237,0.490168,0.460928,0.526574,0.508884,0.505895,0.504606,0.505806
0.960005,0.515787,0.538125,0.485421,0.484735,0.522421,0.508315,0.513898,0.464223
0.982258,0.496241,0.449861,0.528102,0.484681,0.483025,0.495096,0.482796,0.517786
1.007006,0.519875,0.522283,0.489913,0.502401,0.483153,0.510480,0.473743,0.495029
1.030857,0.513177,0.435461,0.495834,0.524017,0.472521,0.515841,0.509769,0.488709
1.053725,0.526892,0.521992,0.491251,0.507233,0.497478,0.507458,0.506768,0.471568
1.075318,0.484550,0.480934,0.502226,0.515609,0.478749,0.465882,0.537284,0.533590
1.100076,0.459467,0.473360,0.552315,0.501222,0.487547,0.508939,0.478340,0.496068
