Timestamp,(PT-1) - CO2 Fill Block,(PT-2) - Ox Tank,(PT-3) - Injector Upstream,(PT-4) - Injector Downstream,+10V,+12V,+5V,Honeywell S-type,Power in
0.000000,509.140998,916.000930,-10.985273,31.163317,20.134047,12.080036,4.981583,21.608101,24.725645
0.015242,514.676934,910.905351,0.526953,11.630276,20.105687,12.080923,4.978772,21.187708,24.714892
0.031261,526.692432,942.485363,-17.590649,7.604142,20.116439,12.083340,4.975764,20.684883,24.711982
0.063368,518.954703,934.370181,10.655197,22.639236,20.125317,12.081910,4.978032,20.741211,24.725349
0.079430,494.263170,918.611629,-11.111090,27.608996,20.155897,12.080973,4.982570,21.018726,24.715090
0.094767,501.371815,905.589592,-5.732427,44.059527,20.139177,12.083587,4.977934,21.246783,24.705521
0.110131,517.319086,924.871013,3.452191,7.069421,20.111902,12.085362,4.975665,20.818146,24.711884
0.141505,516.123827,917.007465,-8.280214,15.687865,20.104503,12.085066,4.980893,21.035212,24.717260
0.157457,529.460401,927.324440,-10.136011,21.412524,20.140853,12.081663,4.973643,21.253652,24.724461
0.173454,517.476357,916.661469,-14.476686,7.918684,20.144602,12.085461,4.980992,21.053072,24.709368
0.189454,507.536835,908.357561,-3.499180,26.571008,20.138733,12.079099,4.983359,21.624588,24.741477
0.219833,503.290521,935.408168,14.398243,21.915790,20.128819,12.080381,4.976405,21.612223,24.715386
0.235141,514.645481,927.576074,-23.032221,13.014260,20.113825,12.084376,4.977589,20.962398,24.720417
0.250882,519.709604,908.514832,-21.050608,-11.834536,20.134935,12.078655,4.985332,21.628709,24.731070
0.282208,511.405699,921.694140,-12.872524,33.868376,20.138437,12.084080,4.976158,21.013230,24.697235
0.297527,496.244784,923.770117,4.553087,-4.002447,20.132124,12.082995,4.981781,21.393783,24.730972
0.313378,523.704285,925.468643,-20.138437,9.176851,20.119103,12.081811,4.977490,21.046202,24.735657
0.329238,520.370142,922.763582,-27.058355,0.243866,20.101347,12.080825,4.972657,21.293493,24.712920
